original_id,Name,Entity Group ID,Entity Category,Entity Subgroup ID
13666,Burgess Pump and Supply,Firm,,
13667,Capital Roofing Pros LLC,Firm,,
13668,DRF Builders Inc,Firm,,
13669,EverTrue Construct LLC,Firm,,
13670,Express Heating & Air Conditioning,Firm,,
13671,"Franz Witte - McCall, L.L.C.",Firm,,
13672,Furnace King Inc.,Firm,,
13674,"IHS Builders, LLC",Firm,,
13675,"Lucky J Excavation, LLC",Firm,,
13676,"Material Handling Systems, Inc.",Firm,,
13677,MICON LLC.,Firm,,
13678,Monteleone Excavation Inc,Firm,,
13679,"Nowlan Enterprises, LLC",Firm,,
13680,Progressive Plumbing Service,Firm,,
13681,Sanders Electric LLC,Firm,,
13683,Southern Premier Roofing of North Carolina LLC,Firm,,
13684,"Sprout Energy, LLC",Firm,,
13688,High Desert Mapping,,,
13692,Guide Group (The),,,
13698,Venus ,,,
13704,C&S Wholesale,,,
13706,PMI,Firm,,
13708,Simonson Properties Inc,,,
13709,DigiMark LLC,,,
13712,United Architects of the Philippines,,,
13719,Eagle1 LLC,Firm,,
13722,BHR Group LLC,,,
13724,Anders & Co. LLC,Firm,,
13725,"Anderson Heating and Air, LLC",Firm,,
13726,BMB Services Inc.,Firm,,
13730,"A & H Solutions, Inc.",Firm,,
13731,"Aldape Sprinkler, Landscape and Home Services LLC.",Firm,,
13732,Colt Builders Corp.,Firm,,
13737,"Caldera Capital, LLC",Firm,,
13738,Fine Mechanical LLC,Firm,,
13739,Ideal Plumbing Service Inc,Firm,,
13740,Izzy's Service LLC,Firm,,
13742,Jays Pool and Spa limited liability company,Firm,,
13743,JD Electric LLC,Firm,,
13744,Lionheart LLC,Firm,,
13747,Optimum Electric LLC,Firm,,
13748,Pro Roofing Idaho LLC,Firm,,
13750,Tree City Design Build Renovate LLC,Firm,,
13751,Vision Builders of Idaho LLC.,Firm,,
13753,River Pools Boise LLC,Firm,,
13755,"208 Pools, LLC",Firm,,
13759,"Edmonds Framing, Inc.",Firm,,
13760,"Flamingo West, LLC",Firm,,
13761,Hill's Home Transformations LLC,Firm,,
13764,"RALOS, LLC",Firm,,
13766,River Valley Framing LLC,Firm,,
13769,"Travis Christensen Farms, LLC",Firm,,
13770,BTC Contractors LLC,Firm,,
13772,environmental mechanical,Firm,,
13773,James Rundle LLC,Firm,,
13774,MZM Ventures LLC,Firm,,
13775,Allure Interiors Inc,Firm,,
13781,"Werre Investments, Inc.",Firm,,
13785,Idaho Family Real Estate,,,
13793,"AGRC, LLC",Firm,,
13795,Amanda Ryan Designs LLC,Firm,,
13796,"Black Canyon Development, LLC",Firm,,
13797,Boise River Remodel LLC,Firm,,
13798,C&B Mechanical,Firm,,
13800,"Desert Springs, LLC",Firm,,
13801,Express Plumbing Heating & Air,Firm,,
13805,Royce Building Co LLC,Firm,,
13806,"SBA Network Services, LLC",Firm,,
13807,"Tier One Builders, LLC",Firm,,
13808,Turf Company (The),Firm,,
13809,Woodcrafters Plus,Firm,,
13812,"DAVACO of Idaho, LP",Firm,,
13813,"Deep Roots Building, LLC",Firm,,
13815,"Horizon PWR-SC, LLC",Firm,,
13817,"Kendrick Bros. Roofing, Inc.",Firm,,
13818,R & E Enterprises LLC,Firm,,
13819,S.T. Carpentry,Firm,,
13820,Urban Fence Company LLC,Firm,,
13826,Silvercreek Realty Group,,,
13827,"123HV, LLC",Firm,,
13829,"5th and Idaho Development, LLC",Firm,,
13830,A-1 Boundary County Appraisal Service,Firm,,
13832,Action Quality Printers,Firm,,
13833,"Active Office Furniture, Inc.",Firm,,
13834,"Advanced AMC, Inc.",Firm,,
13835,Advanced Benefits,Firm,,
13836,"Advantage Advertising, Inc.",Firm,,
13837,Appraisal One Inc.,Firm,,
13838,Appraisals of Idaho,Firm,,
13840,"AgEQUITY, LLC",Firm,,
13841,"Apex Property Management Solutions, LLC",Firm,,
13842,April Florczyk Real Estate,Firm,,
